str1		str2		str3		val1	val2	val3	dist	result		val
0000000010	0000001000	0010000000	1	3	7	5	0000030412		1982----------- 8  6  2  
0000000010	0000100000	0010000000	1	5	7	5	0000032411		2231----------- 8  4  2  
0000000100	0000001000	0001000000	2	3	6	5	0001030214		17559----------- 7  6  3  
0000000100	0000010000	0100000000	2	4	8	5	0000010324		714----------- 7  5  1  
0000000100	0000100000	0001000000	2	5	6	5	0001030214		17559----------- 7  4  3  
0000000100	0001000000	0100000000	2	6	8	5	0000010324		714----------- 7  3  1  
0000001000	0000010000	0010000000	3	4	7	5	0001030214		17559----------- 6  5  2  
0000001000	0001000000	0010000000	3	6	7	5	0001030214		17559----------- 6  3  2  
0000010000	0000100000	0100000000	4	5	8	5	0001020321		16961----------- 5  4  1  
0000010000	0010000000	0100000000	4	7	8	5	0001020321		16961----------- 5  2  1  
